Product title,SKU,Items sold,N. Revenue,Orders,Category,Variations
Tecna 9322 Tool Balancer (Capacity 4-6 Kg) - 2000 mm Stroke,9322,127,11170.51,24,Tool Balancers,0
Xcalibur Weld Crack Detection Developer,8903,120,353.04,7,Leak Detection Spray,0
"Cylinder Connection BS341 No3 x 1/4"" NPT Brass c/w Stem &amp; Nut (Side Entry) RH Thread",RSP00251,113,1697.08,18,Cylinder Connectors,0
Magswitch Hand Lifter,8100359-WWVP,99,11343.2,5,Work Holding Devices - Fixed Angle,2
Outlet Point Regulator (Single Stage Diaphragm) 0 - 10 Bar,LGP500-02-05-00-01-004-00-A/3960000431,92,14128.22,13,LGP500 Outlet Point Gas Regulators,0
Victor Cutting Nozzle - Series 1 - Type 101 - Acetylene Cutting Tip - Size 2,0330-0006,87,1006.8,3,Victor Cutting Nozzles,0
Devcon Plastic Steel Putty - 500g,10112,86,4187.15,19,Devcon Epoxy Metal Repair Putty,0
"Flowmeter - 0-40 LPM - Flow Rate 0-40 litres per minute, LPM",FLOW40,85,759.5,6,"Gas Flow Components, Gas Economisers / Flowmeters",0
Tech Master Outlet Point Wall Mount (3960006020),3960006020,84,9248.37,9,Bench &amp; Wall Mounted Outlet Points,0
"Xcalibur Weld Crack Detection Penetrant, 300ml",8904,84,248.04,6,Leak Detection Spray,0
Jasic PT100 Plasma Torch Cutting Tips 1.4 mm,51248.14,75,205.3,1,Jasic Plasma Cutter Spares,0
Jasic PT-100 Plasma Torch Electrode Back Striking,52556,75,192.2,1,Jasic Plasma Cutter Spares,0
"Gold Bridge Pipe Alignment Clamp 1 - 14""",GBC5-WWVP,74,5850.77,26,Gold Bridge Alignment Clamps,5
"High Pressure Flexible Hose - Male RH &amp; 3/8 Female RH 900 mm x 5/8""",GCS06128,71,12848.11,6,Gases other than Oxy/Oxy Mixture,0
Pipe Stand Folding Leg,PJ3FL,70,4117.1,21,Tri-Stands &amp; Pipe Jacks,3
Weltek Navitek Replacement Outer Clear Lens (AX4000),AX4000,70,94.2,3,Welding Helmet Spares,0
40 mm Neutrix Diamond Wheel (44510030),44510030/052,70,4265.94,12,Handheld Tungsten Grinders,0
Pipe Stand Fixed Leg Flat Pack,PJ3FX-FP,70,4139.35,11,Tri-Stands &amp; Pipe Jacks,3
Safety Spectacles (Shade 5),SA0116N-S5,70,378,1,Safety Spectacles,0
Push Button Flange Pins - Carbon Steel Pair,05.0100.020-2121,63,4059.46,30,Flange Pins,0
Weltek Navitek Replacement Clear Grinding Vizor Lens (AX3415),AX3415,60,585,9,Welding Helmet Spares,0
PT-100 'O' Ring,51190.41,60,36,1,Jasic Plasma Cutter Spares,0
"Xcalibur Weld Crack Detection Cleaner, 300ml",8902,60,178.92,5,Leak Detection Spray,0
"PNM Nozzle 1/16"" Standard Length",PNM116,60,143.4,3,"Gas Cutting &amp; Gouging Nozzles, Oxy/Propane Cutting Nozzle PNM",0
"PNM Nozzle 1/8"" Standard Length",PNM18,60,135.4,2,"Oxy Fuel Nozzles, Gas Cutting &amp; Gouging Nozzles, Oxy/Propane Cutting Nozzle PNM",0
Honeywell Howard Leight Bilsom Laser Light Uncorded 500 Ear Plugs Refill,3301271,60,3600,1,Safety Equipment,0
Leather Welding Mask (Monkey Mask) with Flip Up Goggles,813000/1389/1385,59,5951.51,55,Welding Masks,4
Cable Plug 50 - 70 mm,EW5070PW/CP5070,58,408.66,6,Welding Cable - Plugs &amp; Sockets,0
Tecna 9312 Tool Balancer (1-2 Kg) - 1600 mm Stroke,9312,58,2039.54,13,Tool Balancers,0
Devcon Primer - Flexane FL-20,DEV15985,56,2150.52,16,Devcon Flexane,0
35mm Long VC Straight Spot Welding Electrodes,17920,55,456.75,7,Spot Welding Electrodes,0
"Welders Apron Chrome Leather 42""",ESF4009,53,425.62,4,,0
Bull Nose Cylinder Connection BS341 No.4 (Side Entry) LH Thread,RSP00253,52,1462.03,9,Cylinder Connectors,0
Neutrix/Ultima Tungsten Grinder Electrode Clamp / Collet 2.4 mm - 44510164,44510164,52,718.89,16,Handheld Tungsten Grinders,0
Sifmig Zero SG3 Copper Free Mild Steel MIG Wire - 18kg,WA191218-WWVP,52,2601.44,13,"Copper Free MIG Wire, Mild Steel MIG Wire",2
GPT401-04-03-01-01-011-09-A Tech Master 5 Port Two Stage Cylinder Regulator FKM Seal Inlet 0-300 Bar BS 341 No.4 (Base Entry) - Outlet 0-3.5bar Isolation Valve. 1/4 NPT Female. FKM Seal - Options A Gas Arc Brand,3960057213,52,9620,2,"Inert Gas Regulators, Oxygen Regulators",0
"Lanthanum Tungsten Electrodes - 1.5% Lanthanum - 1/16"" (1.6mm x 150mm)",TEG-1/16,50,32.5,1,Lanthanated Tungsten Electrodes,0
Metalynx Pro Inox Cutting Wheel,388225-WWVP,50,34.5,1,Cutting Discs,3
Devcon Surface Repair Putty - Wet Surface - 500g,11801,49,3811.13,7,Devcon Epoxy Metal Repair Putty,0
"SWP Fitted Acetylene Hose - 10 mm C/W 3/8"" Fitting - 3/8"" x 20 m",A1342,48,1572,1,Welding Hoses - Fitted Single Lengths,0
"SWP Fitted Oxygen Hose - 10 mm C/W 3/8"" Fitting - 3/8"" x 20 m",O1342,48,1572,1,Welding Hoses - Fitted Single Lengths,0
Duo Pipe Stand Base Only,90039,47,8212.75,16,Double Roll Pipe Stands,0
"Aluminium Expanding Pipe Stoppers 1.5"" to 24""",AS6-1-WWVP,47,1376.26,3,Expandable Pipe Stoppers,19
Victor Cutting Nozzle - Series 1 - Type 101 - Acetylene Cutting Tip - Size 1,0330-0005,45,522,1,Victor Cutting Nozzles,0
Handy Purge Self-Calibrating Weld Purge Monitor - 100SC,HP100SC,42,13530.04,30,Weld Purge Monitors,0
Wig Spitz Universal Grinding Wheel,1314688,40,5050,5,Tungsten Grinders with Extractors,0
Weltek Inner Lens 98mm x 47mm x 1mm S4,AX2250,40,49.2,1,Welding Helmet Spares,0
"Lab Master 4-Port Single Stage Diaphragm Line Regulator - Inlet: 0-60 bar / Outlet: 0-10 bar - 1/4"" NPT Female Connections",3960001629,40,6600,1,LGL500 Outlet Point Gas Regulators,0
Chrome Leather Welding Spats,ESF4006,40,136,1,Welding Trousers &amp; Spats,0
Hook on Track for Strip Curtains - 1968 mm,TRACK0035,40,1126.82,8,Welding Strip Curtains,0
Hook-on Plates for Strip Curtains - Pack of 13,PLATES001,40,1738.94,8,Welding Strip Curtains,0
Premium Welders Gauntlets,PRWG,40,202.4,1,Welding Gloves &amp; Gauntlets,0
TIG Welders Gloves,TG,40,149.2,4,Welding Gloves &amp; Gauntlets,0
EW5 Spare Lens for Leather Welding Mask (Monkey Mask),1388,40,19.6,2,Welding Masks,0
Polycarbonate Spare Lens for Leather Welding Mask (Monkey Mask),1384,40,19.2,2,Welding Masks,0
Bull Nose BS341 No3 Stainless Steel Cylinder Connection c/w Stem &amp; Nut,GCP37039,39,3054.52,9,Cylinder Connectors,0
Cutting Tool Bevel 30 Deg Heavy Duty,UC02524,38,1266.92,4,Pipe Prep Blades,0
Purge Eye 100 Weld Purge Monitor,AP10100,38,18765.97,12,Weld Purge Monitors,0
SifTrode 6013-R Mild Steel Electrodes 5kg,RE802050-WWVP,37,913.73,14,Steel &amp; Low Hydrogen Electrodes,4
PJ1 Single Tubed Pipe Stand,PJ1,36,3523.56,8,Single Tube Pipe Stands,4
Leather Welding Mask Standard Size 30cm (Monkey Mask),813000,35,0,6,Welding Masks,0
SWP 600amp MyKing Type Screw Earth Clamp,1082,34,527.83,9,Earth Clamps,0
Devcon Plastic Steel Putty - 5 Minute - 500g,10241,33,2794.38,2,Devcon Epoxy Metal Repair Putty,0
Tecna 9313 Tool Balancer (2-3 Kg) - 1600 mm Stroke,9313,33,1243.76,11,Tool Balancers,0
Manual Pipe Cutter Guide Band (Per Metre),EZPCGBM,32,2240,1,"Manual Pipe Cutting Machine Spares, Automatic Pipe Cutting Machine Spares, Magnetic Pipe Cutting Machine Spares",0
Super 6 E7018 MMA Mild Steel Electrodes 5kg,7408-WWVP,32,361.6,4,Steel &amp; Low Hydrogen Electrodes,4
Magswitch MagSquare 1000 (8100099),8100099,31,9306.67,2,Work Holding Devices - Fixed Angle,0
Quattro Pipe Stand,PJQB/LVH,31,4496.49,7,Quattro Pipe Stands,2
"Fibre Glass Backing Tape x 2.5"" (64 mm) - 200AMP",AFBT-2.5-200,31,4235.6,4,"Weld Backing Tapes, Fibreglass Weld Backing Tape",0
Super 6 5183 Aluminium MIG Wire - 1.0/1.2mm - 6kg,7040-WWVP,31,1523.4,4,Aluminium MIG Wire,2
500A Earth Clamp (MIG/TIG/ARC),EC500,30,73.1,3,Earth Clamps,0
Long Back Cap 41V24,41V24,30,26.4,1,TIG Torch Consumables,0
DIN Type Plug 35 - 50 mm,EW3550PW,30,73.8,1,Welding Cable - Plugs &amp; Sockets,0
Cable Lug Re-Useable (35mm),LUG35RU - 1037,30,36.3,1,Re-usable Cable Lugs,0
Cable Lug Re-Useable (50mm),LUG50RU,30,40.2,1,Re-usable Cable Lugs,0
"ANME Cutting Nozzle Long Length - 3/64""",ANME364,30,93.45,2,"Gas Cutting &amp; Gouging Nozzles, Oxy/Acetylene Cutting Nozzle ANME",0
"Air Engraver 34,000 rpm",SP-516,30,2605.84,7,Air Tools,0
"Cylinder Connection DIN477 No.1 x 1/4"" NPT Brass (c/w Stem, Nut &amp; Washer)",RSP00300,30,763.3,4,Gas Arc Spares &amp; Certificates,0
Cylinder Connection BS341 No3 x 1/4″ NPT Plated Brass c/w Stem &amp; Nut (Side Entry) RH Thread,GCP36026,30,1398,1,Cylinder Connectors,0
KEMPER SmartMaster - Welding Fume Extraction Unit,64 300-WWVP,29,41632.67,28,"Offers &amp; Deals, Kemper Mobile Fume Extraction",5
PPM Double Seal Pipe Purging System to 330°C (Sizes 16mm – 320mm),PPM-DOUBLE-SEAL-WWVP,29,6389.83,2,Double Seal Purge Systems,21
Pre-Formed Water Soluble Purge Dams,PURGE-DAMS-WWVP,29,739.8,4,Pre-formed Self Adhesive Purge Dams,15
Large V-Head,LVH,28,1320.08,3,"Multi-Stand Pipe Stands, Tri-Stands &amp; Pipe Jacks, Quattro Pipe Stands",0
Superon Superhard 650 Electrodes 5kg,7423S-WWVP,28,516.9,5,Hard Surfacing Electrodes,3
Duo Steel Wheel Quick Change Heads (Pair),90065,27,1210.05,10,Double Roll Pipe Stands,0
"High Pipe Stand 39""- 72"" (99 - 180 cm)",3610,27,4230.96,12,Tri-Stands &amp; Pipe Jacks,0
Stainless Steel Flange Pins - Pair,2124,27,1220.5,8,Flange Pins,0
Mini Gravity Gun 1.0mm,P-5013,27,1636.05,8,Paint Spray Guns &amp; Accessories,0
Weld Star SG3 (G4Si1) Mild Steel MIG Wire (15kg Reel),3010301508-WWVP,27,960.73,5,Mild Steel MIG Wire,3
Standard V-Head,PJ3V,26,493.68,6,"Multi-Stand Pipe Stands, Tri-Stands &amp; Pipe Jacks",0
Tech-Master 0-60bar Gauge 1/4NPT Male Inlet (70bar Full Scale),WIK02066,26,550.21,5,Manifold &amp; Regulator Parts/Connectors,0
Gas Arc Tech-Master GA-D97 Fuel Gas Flashback Arrestor - 5 Bar,FBA07048,26,1447.8,2,Flashback Arrestors,0
Gas Arc Tech-Master GA-D97 Oxygen Flashback Arrestor - 5 Bar (Regulator Fitting),FBA07051,25,1237.5,1,Flashback Arrestors,0
Neo Prene O Ring,ORI07001,25,71.5,1,Manifold &amp; Regulator Parts/Connectors,0
Welding Curtain Split Ring - Pack of 30,1474/30,24,237.05,11,Welding Curtain Frames &amp; Arms,0
Cable Socket 50-70mm,EW5070SW/CS5070,24,282.24,3,Welding Cable - Plugs &amp; Sockets,0
Xcalibur Anti-Spatter High Performance - 500ml,8908,24,91.2,2,Anti-Spatter Spray,0
Superon Cutting/Gouging 5kg MMA Electrodes,7420S-WWVP,24,625.2,8,Cutting/Gouging Welding Electrodes,3
Superon Super Optimal 6013 MMA Mild Steel Electrodes 5kg,7601-WWVP,24,317.08,3,Steel &amp; Low Hydrogen Electrodes,4
Ardrox 9PR5 (HF-R) - Solvent Based Penetrant Remover - Box of 10,1331293,23,2769.76,16,Ardrox NDT Aerosols,0
"Gas Arc Lab-Master Fuel Gas Flashback Arrestor - 1/4 NPT M/F (H2, Ethylene, Methane, LPG)",FBA07087,23,2036.79,11,Flashback Arrestors,0
KEMPER Pre‑Filter Cassette for SmartMaster (109 0453) (109 0453),109 0453,23,1188.66,5,Kemper Filters,0
Pipe Roller Head - with Nylon Wheels,NWK350,22,817.2,7,"Multi-Stand Pipe Stands, Single Tube Pipe Stands, Tri-Stands &amp; Pipe Jacks, Quattro Pipe Stands",0
Tecna 9311 Tool Balancer (0.4-1 Kg) - 1600 mm Stroke,9311,22,722.08,5,Tool Balancers,0
Universal Single Cylinder Trolley (CT-SU12),CT-SU12,22,1594.29,20,Gas Cylinder Trolleys,0
"Gas Arc Tech-Master Hydrogen Flashback Arrestor - 1/4"" NPT M/F, 10 Bar (FBA07084)",FBA07084,22,1819.87,11,Flashback Arrestors,0
Flat Face BS341 No.13 Cylinder Connection,RSP00259,22,1547.46,3,Cylinder Connectors,0
Bull Nose Cylinder Connection BS341 No.4 (Base Entry) Left Hand Thread,RSP00252,22,317.96,3,Cylinder Connectors,0
Aluminised Welding Glove Protectors (Pair),GEM23,21,462.6,2,Welding Gloves &amp; Gauntlets,0
IsoJet Stainless Steel Brushes - Pack of 5,1314844,21,2240.54,17,IsoJet Stainless Steel Weld Cleaner,0
Rotabroach RAP240 Raptor 24 mm M2 Standard Cutter,RAP240,21,379.89,2,Broaching Cutters,0
Tecna 9323 Tool Balancer (Capacity 6-8 Kg) - 2000 mm Stroke,9323,21,2212.71,10,Tool Balancers,0
